1	LINCOLN PLAZA	10023	ONE LINCOLN PLAZA CONDOMINIUM-OGDEN
1	MADISON AVENUE	10010	PR
1	ROCKWELL PLACE	11217	LEITER PROPERTY MANAGEMENT
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	CLINTON STREET	11201	CADMAN ASSOCIATES LLC
1	LINCOLN PLAZA	10023	ONE LINCOLN PLAZA CONDOMINIUM-OGDEN
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	PIER 57	10011	RXR REALTY
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	BELL SLIP	11222	BROOKFIELD PROPERTIES
1	TENNIS PLACE	11375	DYNAMIC CONSTRUCTION SERV
1	MURRAY STREET	10007	DCAS
1	WEST 72 STREET	10023	CENTENNIAL ELEVATOR INDUSTRIES, INC
1	BELL SLIP	11222	BROOKFIELD PROPERTIES
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	DEKALB AVENUE	11201	ACADIA REALTY TRUST
1	WEST 4 STREET	10012	CENTENNIAL ELEVATOR INDUSTRIES, INC
1	CLINTON STREET	11201	CADMAN ASSOCIATES LLC
1	EAGLE STREET	11222	PLATFORM SOLUTIONS INC.
1	NAGLE AVENUE	10040	EDEL FAMILY MANAGEMENT CORP
1	EAGLE STREET	11222	PLATFORM SOLUTIONS INC.
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	LINCOLN PLAZA	10023	ONE LINCOLN PLAZA CONDOMINIUM-OGDEN
1	BOERUM PLACE	11201	AVERY HALL INVESTMENTS
1	CLINTON STREET	11201	LIBERTY ELEVATOR CORPORATION
1	PARK AVENUE	10016	NOUVEAU ELEVATOR
1	WEST END AVENUE	10019	ELAD US HOLDING INC.
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	FLATBUSH AVENUE	11217	SLATE PROPERTY GROUP
1	BELL SLIP	11222	SPRING SCAFFOLDING LLC
1	SULLIVAN PLACE	11225	PR
1	WEST 19 STREET	10011	142 FIFTH AVE. OWNERS CORP.
1	CLINTON STREET	11201	CADMAN ASSOCIATES LLC
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	EAST 91 STREET	10128	CONVENT OF THE SACRED HEART
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	ELLIS STREET	10307	INSITE PROPERTY GROUP
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	BOERUM PLACE	11201	AVERY HALL INVESTMENTS
1	EAST 150 STREET	10451	NYC PARKS & RECREATION
1	GRACIE TERRACE	10028	ROTAVELE ELEVATOR
1	FLATBUSH AVENUE	11217	SD BUILDERS AND CONSTRUCTION LLC
1	BELL SLIP	11222	SPRING SCAFFOLDING LLC
1	UNION SQUARE SOUTH	10003	LIBERTY ELEVATOR CORPORATION
1	BELL SLIP	11222	SPRING SCAFFOLDING LLC
1	BELL SLIP	11222	BROOKFIELD PROPERTIES
1	FLATBUSH AVENUE	11217	SLATE PROPERTY GROUP
1	EAST 150 STREET	10451	NYC PARKS & RECREATION
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	UNION SQUARE SOUTH	10003	LIBERTY ELEVATOR CORPORATION
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	UNION SQUARE SOUTH	10003	LIBERTY ELEVATOR CORPORATION
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	LINCOLN PLAZA	10023	ONE LINCOLN PLAZA CONDOMINIUM-OGDEN
1	LINCOLN PLAZA	10023	ONE LINCOLN PLAZA CONDOMINIUM-OGDEN
1	BELL SLIP	11222	SPRING SCAFFOLDING LLC
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	NASSAU AVENUE	11222	AUTHORIZED SIGNATORY FOR ENTITY
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	MURRAY STREET	10007	DCAS
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	LINCOLN PLAZA	10023	ONE LINCOLN PLAZA CONDOMINIUM-OGDEN
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	PACE PLAZA	10038	PACE UNIVERSITY
1	WEST 55 STREET	10019	FIFTH AVE PRESBYTERIAN CHURCH
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	DEKALB AVENUE	11201	ACADIA REALTY TRUST
1	PACE PLAZA	10038	SAFWAY ATLANTIC LLC
1	NASSAU AVENUE	11222	AUTHORIZED SIGNATORY FOR ENTITY
1	TUDOR CITY PLACE	10017	PR
1	MADISON AVENUE	10010	PR
1	FLATBUSH AVENUE	11217	SLATE PROPERTY GROUP
1	LINCOLN PLAZA	10023	ONE LINCOLN PLAZA CONDOMINIUM-OGDEN
1	WASHINGTON SQUARE VILLAGE	10012	NYU
1	CLINTON STREET	11201	CADMAN ASSOCIATES LLC
1	PROSPECT PARK WEST	11215	PR
1	WASHINGTON SQUARE VILLAGE	10012	NYU
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	HUDSON AVENUE	11201	CON EDISON
1	DYCKMAN STREET	10034	DOE/DSF VERTICAL TRANSPORTATION SYS
1	NAGLE AVENUE	10040	EDEL FAMILY MANAGEMENT CORP
1	PACE PLAZA	10038	PACE UNIVERSITY
1	BOERUM PLACE	11201	AVERY HALL INVESTMENTS
1	ELLIS STREET	10307	INSITE PROPERTY GROUP
1	BROADWAY	10004	NOUVEAU ELEVATOR
1	TIMES SQUARE	10036	PLATFORM SOLUTIONS INC.
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	NAGLE AVENUE	10040	EDEL FAMILY MANAGEMENT CORP
1	GANSEVOORT STREET	10014	GANSEVOORT COOPERATIVE CORP
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	LINCOLN PLAZA	10023	ONE LINCOLN PLAZA CONDOMINIUM-OGDEN
1	EAGLE STREET	11222	PLATFORM SOLUTIONS INC.
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	LINCOLN PLAZA	10023	ONE LINCOLN PLAZA CONDOMINIUM-OGDEN
1	WEST 67 STREET	10023	PR
1	WALL STREET	10004	MACKLOWE PROPERTIES
1	STATE STREET PLAZA	10004	ACTA REALTY CORP.
1	PROSPECT PARK WEST	11215	LIBERTY ELEVATOR CORPORATION
1	EAST 150 STREET	10451	GOTHAM ELEVATOR INSPECTION INC
