1	7TH AVENUE	10011
1	PARK AVENUE	10016
1	TOMPKINS CIRCLE	10301
1	EAST 161ST STREET	10451
1	SUNSET HILL DRIVE	10301
1	BRYANT PARK	10036
1	EAST   42 STREET	10017
1	EAST   42 STREET	10017
1	EAST   35 STREET	10016
1	RIVER PLACE	10036
1	PARK AVENUE	10016
1	WARDS MEADOW LOOP	10035
1	WEST   72 STREET	10023
1	WEST 125 STREET	10027
1	PARK ROW	10038
1	HECKSCHER FIELDS	10000
1	LIBERTY PLAZA	10006
1	DELANCY STREET	10002
1	NEW YORK PLAZA	10004
1	EAST 94 STREET	10128
1	BOGUS LANE	10001
1	TEDDY PLACE	10465
1	CITY ISLAND AVENUE	10464
1	TEDDY PLACE	10465
1	EASTERN PARKWAY	11238
1	NORTH 4 PLACE	11249
1	LEXINGTON AVENUE	11238
1	KNICKERBOCKER AVENUE	11237
1	WYTHE LANE	11249
1	MAIN STREET	11201
1	JARVIS COURT	11691
1	CHESTER WALK	11697
1	BAYSIDE	11697
1	HUDSON WALK	11697
1	GOTHAM WALK	11697
1	FULTON WALK	11697
1	IRVING WALK	11697
1	DEAUVILLE  WALK	11697
1	CASE AVENUE	10309
1	RUGBY AVENUE	10301
1	DELPHINE TERRACE	10305
1	MACDONOUGH STREET	11216
1	ARLINGTON PLACE	11216
1	EAST LOOP ROAD	10044
1	MAC DOUGAL ALLEY	10011
1	EAST 161ST STREET	10451
1	DEAUVILLE WALK	11697
1	MONTANA COURT	10303
1	NEW YORK PLAZA	10004
1	NEW YORK PLAZA	10004
1	OLD FULTON STREET	11201
1	MELBA CT	11229
1	2ND. PLACE	11231
1	MESEROLE AVENUE	11222
1	78TH ST	11209
1	PARK AVENUE	10016
1	JOHN ST	11201
1	BLUE SLIP	11222
1	BOGUS LANE	10001
1	WARD AVENUE	10304
1	DALEMERE ROAD	10304
1	GREAT JONES ALLEY	10012
1	NEW YORK PLAZA	10004
1	CROSBY AVENUE	11207
1-15	AUDLEY STREET	11415
1-29	BEACH 137 STREET	11694
1-37	BEACH  138 STREET	11694
1-43	BEACH   98 STREET	11694
1-50	50TH AVENUE	11101
1-50	50TH AVENUE	11101
1-55	BORDEN AVENUE	11101
1-55	BORDEN AVENUE	11101
1-79	BEACH 110 STREET	11694
10	EAST 128TH STREET	10035
10	EAST 138TH STREET	10037
10	WEST 132ND STREET	10037
10	EAST   92 STREET	10028
10	MONTEITH STREET	11206
10	WEST 122 STREET	10027
10	TUPELO COURT	10306
10	MONROE ST	11238
10	ANGELA DRIVE	11223
10	GREENE STREET	10013
10	SUMMERFIELD PLACE	10303
10	PALMETTO STREET	11221
10	HARRISON STREET	10013
10	GRAHAM PLACE	11697
10	LEASON PLACE	10314
10	BARCLAY STREET	10007
10	WEST   71 STREET	10023
10	WEST END AVENUE	10023
10	CENTRAL PARK	10000
10	BATTERY PLACE	10004
10	JAY STREET	10013
10	WEST 127TH	10027
10	GRACIE SQUARE	10028
10	HUBERT STREET	10013
10	WEST 84TH ST	10024
10	WYCKOFF STREET	11201
10	SUYDAM PLACE	11233
10	BOX STREET	11222
10	BOUCK COURT	11223
10	LEXINGTON AVENUE	11238
10	OVERHILL ROAD	11375
10	WILSON TERRACE	10304
10	IRVING WALK	11697
10	WOODWARD AVENUE	11385
10	GOTHAM WALK	11697
10	BAYWAY WALK	11697
10	WEST 10TH ROAD	11693
10	FULTON WALK	11697
10	GRAHAM PLACE	11697
10	BRANT WALK	11697
10	NEPTUNE WALK	11697
10	ESSEX WALK	11697
10	BRENTON PLACE	10314
10	ARBUTUS  AVENUE	10312
10	EL CAMINO LOOP	10309
10	HETT AVENUE	10306
10	FARRADAY STREET	10314
10	PERSIMMON LANE	10314
10	FLORENCE PL	10309
10	PYRAMID COURT	10314
10	CIARCIA COURT	10309
10	FLORENCE PL	10309
10	SWEETWATER AVENUE	10308
10	CHATHAM STREET	10312
10	HARDY PLACE	10308
10	BURGUNDY LOOP	10304
10	FILLMORE STREET	10301
10	WINSLOW PLACE	10312
10	HARDY PLACE	10308
10	TAFT AVENUE	10301
10	BRIGHTON STREET	10307
10	FOREST STREET	10314
10	FOREST STREET	10314
10	CHESTER WALK	11697
10	ELMHURST AVENUE	10301
10	BARCLAY STREET	10007
10	BARCLAY STREET	10007
10	ST. JOHNS AVENUE	10305
10	EAST 53 STREET	10022
10	LYMAN PLACE	10304
10	THETFORD LANE	11697
10	MCKEE AVENUE	10308
10	EAST 78TH STREET	10075
10	RODERICK  AVENUE	10305
10	WANDEL AVENUE	10304
10	WANDEL AVENUE	10304
10	BAYVIEW WALK	11697
10	VERMILYEA AVENUE	10034
10	W. 65TH STREET	10023
10	THIRD PLACE	11231
10	BANK STREET	10014
10	HANCOCK STREET	11216
10	SAINT PAULS PLACE	11226
10	SERENITY WAY	10303
10	DENNETT PLACE	11231
10	EUGENE STREET	10309
10-02	38TH AVE	11101
10-03	141 STREET	11357
10-10	150 STREET	11357
10-11	BAY 24 STREET	11691
10-12	CROSS BAY BLVD	11693
10-12	CLINTONVILLE STREET	11357
10-12	154 STREET	11357
10-12	154 STREET	11357
10-12	46 ROAD	11101
10-14	CHANNEL ROAD	11693
10-16	147 STREET	11357
10-18	47 AVENUE	11101
10-22	46TH AVENUE	11101
10-22	WYCKOFF AVENUE	11385
10-24	154 STREET	11357
10-24	49TH AVE	11101
10-26	TOTTEN ST.	11357
10-29	44TH ROAD	11101
10-37	47 AVENUE	11101
10-37	JACKSON AVENUE	11101
10-39	47 ROAD	11101
10-40	JACKSON AVENUE	11101
10-41	47TH AVENUE	11101
10-42	47 ROAD	11101
10-42	JACKSON AVENUE	11101
10-44	JACKSON AVENUE	11101
10-44	47TH AVENUE	11101
10-44	46 ROAD	11101
10-45	TOTTEN STREET	11357
10-50	44TH DRIVE	11101
10-53	TOTTEN ST	11357
10-54	BURTON STREET	11357
10-54	BURTON STREET	11357
10-80	WYCKOFF AVENUE	11385
100	NORFOLK STREET	10002
100	AINSLIE STREET	11211
100	WEST STREET	10280
100	CLINTON STREET	11201
100	BOGART STREET	11206
100	WILLOUGHBY STREET	11201
100	EAST 53 STREET	10022
100	MILLS AVE	10305
100	EAST 93 STREET	11212
100	KINGHORN STREET	10312
100	DONLEY AVENUE	10305
100	BROADWAY	10005
100	THIRD AVENUE	10003
100	PRINCE STREET	10012
100	MORTON STREET	10014
100	DELANCY STREET	10002
100	86 STREET TRANSVERSE	10021
100	EAST END AVENUE	10028
100	WEST   80 STREET	10024
100	6TH AVENUE	10013
100	EAST 118 STREET	10035
100	CHURCH STREET	10007
100	COVE COURT	10472
100	LIGHTHOUSE COURT	10472
100	DOLPHIN COURT	10472
100	OAK POINT AVENUE	10455
100	HORIZON LANE	10473
100	W 163 STREET	10452
100	LAWRENCE AVENUE	11230
100	WYCKOFF AVENUE	11237
100	LUQUER STREET	11231
100	WHITMAN DRIVE	11234
100	6 AVE	11217
100	DUPONT STREET	11222
100	GREEN ST	11222
100	SKILLMAN AVENUE	11211
100	BROOKLYN AVE	11216
100	MADISON STREET	11216
100	SHOTWELL AVENUE	10312
100	BAYSIDE LANE	10309
100	NEVADA  AVENUE	10306
100	EL CAMINO LOOP	10309
100	PROVIDENCE STREET	10304
100	COVINGTON CIRCLE	10312
100	HULL AVENUE	10306
100	SWEETGUM LANE	10314
100	ELSON STREET	10314
100	WILD AVENUE	10314
100	BELL STREET	10305
100	HILLCREST STREET	10308
100	HILLCREST STREET	10308
100	BURGUNDY LOOP	10304
100	CLERMONT PLACE	10314
100	SACKETT STREET	11231
100	GUERNSEY ST	11222
100	BROADWAY	10005
100	LEXINGTON AVENUE	10016
100	WEST   18 STREET	10011
100	GIEGERICH AVE	10307
100	GIEGERICH AVENUE	10307
100	SUMMIT ST	11231
100	BROADWAY	10005
100	PIERREPONT STREET	11201
100	HIMROD STREET	11221
100	EMERSON DRIVE	10304
100	AVE T	11223
100	GREENWICH STREET	10006
100	NEW JERSEY AVE	11207
