1980	3,196,210,196	879,294,718
1981	3,298,090,087	1,018,517,570
1982	3,602,818,189	1,159,410,467
1983	3,787,433,131	1,331,014,364
1984	3,957,174,165	1,546,639,083
1985	4,226,553,559	1,739,857,715
1986	4,599,771,274	1,815,595,083
1987	4,975,553,942	2,163,167,712
1988	5,382,369,234	2,088,472,557
1989	5,942,929,260	2,445,157,741
1990	6,542,588,550	2,537,563,634
1991	7,250,978,708	2,798,160,103
1992	7,817,785,170	3,233,005,792
1993	7,886,255,800	3,474,090,799
1994	7,773,321,765	3,555,641,395
1995	7,473,579,658	3,601,526,628
1996	7,100,360,301	3,919,554,941
1997	7,290,685,393	4,377,183,533
1998	7,239,192,544	5,136,826,858
1999	7,630,673,246	5,389,598,015
2000	7,849,962,352	5,364,597,247
2001	8,245,584,830	5,757,073,542
2002	8,760,872,526	4,555,058,628
2003	10,062,929,841	4,492,946,705
2004	11,582,327,784	6,012,580,214
2005	11,615,938,541	6,656,333,891
2006	12,636,355,144	7,675,813,058
2007	13,122,811,801	7,963,170,385
2008	13,203,929,932	9,764,209,385
2009	14,487,231,342	7,518,903,339
2010	16,369,446,933	7,592,656,736
2011	17,086,483,859	8,165,972,421
2012	18,157,722,065	8,557,002,486
2013	18,969,610,477	9,814,898,044
2014	20,202,022,324	10,173,613,557
2015	21,517,932,115	11,294,668,667
2016	23,180,583,271	11,392,472,933
2017	24,679,411,855	11,257,809,363
2018	26,407,629,785	13,411,314,750
2019	27,884,735,333	13,555,342,688
2020	29,815,934,908	13,776,124,959
